research_id,binance_price_source,has_binance_price_history,has_coingecko_history,has_market_cap_history,has_true_historical_market_cap,uses_current_supply_mcap_proxy,has_revenue_history,has_fees_history,price_first_date,price_last_date,price_observations,volume_24h_first_date,volume_24h_last_date,volume_24h_observations,market_cap_first_date,market_cap_last_date,market_cap_observations,fdv_first_date,fdv_last_date,fdv_observations,revenue_first_date,revenue_last_date,revenue_observations,trading_fees_first_date,trading_fees_last_date,trading_fees_observations,dex_volume_first_date,dex_volume_last_date,dex_volume_observations,stablecoin_supply_first_date,stablecoin_supply_last_date,stablecoin_supply_observations,open_interest_first_date,open_interest_last_date,open_interest_observations,tvl_first_date,tvl_last_date,tvl_observations,active_addresses_first_date,active_addresses_last_date,active_addresses_observations,issuance_first_date,issuance_last_date,issuance_observations,burn_first_date,burn_last_date,burn_observations,supply_first_date,supply_last_date,supply_observations
0x,binance_spot,True,True,True,True,False,False,False,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0
1inch,binance_spot,True,True,True,True,False,False,False,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
aave,binance_spot,True,True,True,True,False,True,True,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
aerodrome,binance_futures,True,True,True,True,False,True,True,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0
aethir,binance_futures,True,True,True,True,False,True,True,2024-06-12,2026-05-05,693,2024-06-12,2026-05-05,693,2024-06-12,2026-05-05,693,,,0,2024-10-31,2026-05-05,552,2024-10-31,2026-05-05,552,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
apecoin,binance_spot,True,True,True,True,False,False,False,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
api3,binance_spot,True,True,True,True,False,True,True,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,2025-12-30,2026-05-05,127,2025-12-30,2026-05-05,127,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
aquarius-stellar,,False,True,True,True,False,True,True,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,2025-08-28,2026-05-05,251,2025-08-28,2026-05-05,251,2024-07-25,2026-05-05,650,,,0,,,0,,,0,,,0,,,0,,,0,,,0
arkham,binance_spot,True,True,True,True,False,False,False,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
astherus,binance_spot,True,True,True,True,False,False,True,2025-10-06,2026-05-05,212,2025-10-06,2026-05-05,212,2025-10-06,2026-05-05,212,,,0,,,0,2024-05-01,2026-05-05,735,2025-09-16,2026-05-05,232,,,0,2025-07-16,2026-05-05,294,,,0,,,0,,,0,,,0,,,0
aura,,False,True,True,True,False,True,True,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
axie-infinity,binance_spot,True,True,True,True,False,True,True,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
babylon-protocol,binance_spot,True,True,True,True,False,False,False,2025-04-10,2026-05-05,391,2025-04-10,2026-05-05,391,2025-04-10,2026-05-05,391,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
balancer,,False,True,True,True,False,True,True,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0
basic-attention,binance_spot,True,True,True,True,False,False,False,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
beam,,False,True,True,True,False,False,False,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
bedrock,binance_futures,True,True,True,True,False,False,False,2025-03-20,2026-05-05,412,2025-03-20,2026-05-05,412,2025-03-20,2026-05-05,412,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
beefy,,False,True,True,True,False,True,True,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
benqi,binance_spot,True,True,True,True,False,True,True,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,2024-05-01,2026-05-05,735,2024-05-01,2026-05-05,735,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
bio-protocol,binance_spot,True,True,True,True,False,False,False,2025-01-03,2026-05-05,488,2025-01-03,2026-05-05,488,2025-01-03,2026-05-05,488,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
