signal,period,mean_ic,n_dates,positive_train_validation_fold2,positive_all_windows_and_fold2,min_train_validation_fold2_ic
revenue_chg_4w,Train,0.03293296535179125,322,True,True,0.0167689997986195
revenue_chg_4w,Validation,0.0167689997986195,169,True,True,0.0167689997986195
revenue_chg_4w,Test,0.022165985410790266,171,True,True,0.0167689997986195
revenue_chg_4w,fold_1,0.013691747608836272,92,True,True,0.0167689997986195
revenue_chg_4w,fold_2,0.04478677139084215,89,True,True,0.0167689997986195
revenue_chg_4w,fold_3,0.013895622516220556,92,True,True,0.0167689997986195
revenue_chg_4w,fold_4,0.03496003112503528,92,True,True,0.0167689997986195
revenue_chg_8w,Train,0.02102201170082034,294,False,False,-0.006091691190771826
revenue_chg_8w,Validation,-0.006091691190771826,169,False,False,-0.006091691190771826
revenue_chg_8w,Test,0.04016473898465595,171,False,False,-0.006091691190771826
revenue_chg_8w,fold_1,-0.021627677610346913,92,False,False,-0.006091691190771826
revenue_chg_8w,fold_2,0.017538733476055588,89,False,False,-0.006091691190771826
revenue_chg_8w,fold_3,-0.00908161623921415,92,False,False,-0.006091691190771826
revenue_chg_8w,fold_4,0.0027226949312880626,92,False,False,-0.006091691190771826
trading_fees_chg_4w,Train,0.02309463491018083,322,True,True,0.02309463491018083
trading_fees_chg_4w,Validation,0.029471783237191983,169,True,True,0.02309463491018083
trading_fees_chg_4w,Test,0.025841403038736797,171,True,True,0.02309463491018083
trading_fees_chg_4w,fold_1,-0.011771280951893916,92,True,True,0.02309463491018083
trading_fees_chg_4w,fold_2,0.03680655293633039,89,True,True,0.02309463491018083
trading_fees_chg_4w,fold_3,0.03698039637338253,92,True,True,0.02309463491018083
trading_fees_chg_4w,fold_4,0.03309266537022736,92,True,True,0.02309463491018083
trading_fees_chg_8w,Train,0.012316205009765017,294,False,False,-0.0015699854861399684
trading_fees_chg_8w,Validation,-0.0015699854861399684,169,False,False,-0.0015699854861399684
trading_fees_chg_8w,Test,0.049694697101921106,171,False,False,-0.0015699854861399684
trading_fees_chg_8w,fold_1,-0.036566216042096575,92,False,False,-0.0015699854861399684
trading_fees_chg_8w,fold_2,0.018227066932579517,89,False,False,-0.0015699854861399684
trading_fees_chg_8w,fold_3,0.004633485040381098,92,False,False,-0.0015699854861399684
trading_fees_chg_8w,fold_4,0.003490837437331193,92,False,False,-0.0015699854861399684
dex_volume_chg_4w,Train,0.004674319732867778,322,True,False,0.004674319732867778
dex_volume_chg_4w,Validation,0.060943802502845465,169,True,False,0.004674319732867778
dex_volume_chg_4w,Test,-0.0034053387867812525,171,True,False,0.004674319732867778
dex_volume_chg_4w,fold_1,-0.08217343711573143,92,True,False,0.004674319732867778
dex_volume_chg_4w,fold_2,0.04296880452229744,89,True,False,0.004674319732867778
dex_volume_chg_4w,fold_3,0.08879066113470648,92,True,False,0.004674319732867778
dex_volume_chg_4w,fold_4,0.03532454627917766,92,True,False,0.004674319732867778
dex_volume_chg_8w,Train,0.006416270382463263,294,False,False,-0.04779246156871952
dex_volume_chg_8w,Validation,0.02138430131741168,169,False,False,-0.04779246156871952
dex_volume_chg_8w,Test,0.03822271636683273,171,False,False,-0.04779246156871952
dex_volume_chg_8w,fold_1,-0.014992047686921478,92,False,False,-0.04779246156871952
dex_volume_chg_8w,fold_2,-0.04779246156871952,89,False,False,-0.04779246156871952
dex_volume_chg_8w,fold_3,0.02231605823288243,92,False,False,-0.04779246156871952
dex_volume_chg_8w,fold_4,0.005372699659089072,92,False,False,-0.04779246156871952
tvl_chg_4w,Train,0.17157666350212933,322,False,False,-0.02742228186015169
tvl_chg_4w,Validation,-0.02742228186015169,169,False,False,-0.02742228186015169
tvl_chg_4w,Test,0.05088239016866917,171,False,False,-0.02742228186015169
tvl_chg_4w,fold_1,0.11723928245667378,92,False,False,-0.02742228186015169
tvl_chg_4w,fold_2,0.25402125963923716,89,False,False,-0.02742228186015169
tvl_chg_4w,fold_3,-0.05516222907527256,92,False,False,-0.02742228186015169
tvl_chg_4w,fold_4,0.05594405594405595,92,False,False,-0.02742228186015169
tvl_chg_8w,Train,0.1920782165680125,294,True,True,0.03338968723584109
tvl_chg_8w,Validation,0.03338968723584109,169,True,True,0.03338968723584109
tvl_chg_8w,Test,0.06522746360037365,171,True,True,0.03338968723584109
tvl_chg_8w,fold_1,0.14130434782608697,92,True,True,0.03338968723584109
tvl_chg_8w,fold_2,0.135668825556466,89,True,True,0.03338968723584109
tvl_chg_8w,fold_3,0.06886048733874821,92,True,True,0.03338968723584109
tvl_chg_8w,fold_4,0.01406202493159015,92,True,True,0.03338968723584109
open_interest_chg_4w,Train,,0,False,False,-0.6583333333333333
open_interest_chg_4w,Validation,-0.6583333333333333,12,False,False,-0.6583333333333333
open_interest_chg_4w,Test,-0.09759120022277916,171,False,False,-0.6583333333333333
open_interest_chg_4w,fold_1,,0,False,False,-0.6583333333333333
open_interest_chg_4w,fold_2,,0,False,False,-0.6583333333333333
open_interest_chg_4w,fold_3,,0,False,False,-0.6583333333333333
open_interest_chg_4w,fold_4,-0.21111111111111108,27,False,False,-0.6583333333333333
open_interest_chg_8w,Train,,0,False,False,-0.3916666666666666
open_interest_chg_8w,Validation,-0.3916666666666666,12,False,False,-0.3916666666666666
open_interest_chg_8w,Test,-0.06026176552492341,171,False,False,-0.3916666666666666
open_interest_chg_8w,fold_1,,0,False,False,-0.3916666666666666
open_interest_chg_8w,fold_2,,0,False,False,-0.3916666666666666
open_interest_chg_8w,fold_3,,0,False,False,-0.3916666666666666
open_interest_chg_8w,fold_4,-0.1185185185185185,27,False,False,-0.3916666666666666
stablecoin_supply_chg_4w,Train,,0,False,False,
stablecoin_supply_chg_4w,Validation,,0,False,False,
stablecoin_supply_chg_4w,Test,,0,False,False,
stablecoin_supply_chg_4w,fold_1,,0,False,False,
stablecoin_supply_chg_4w,fold_2,,0,False,False,
stablecoin_supply_chg_4w,fold_3,,0,False,False,
