family,regime,horizon,mean_ic,n_periods
fundamentals,Bullish,7,0.029281550999584478,246
fundamentals,Bullish,14,0.04546892976782002,246
fundamentals,Bullish,30,0.05870946886057895,246
fundamentals,Bearish,7,0.03446281436510194,119
fundamentals,Bearish,14,0.04877490675896849,119
fundamentals,Bearish,30,0.0048587826581650935,119
momentum,Bullish,7,0.10081887751943745,246
momentum,Bullish,14,0.11052909300256299,246
momentum,Bullish,30,0.1306909641548089,246
momentum,Bearish,7,0.055780531221516425,119
momentum,Bearish,14,0.058575476016395345,119
momentum,Bearish,30,0.07642711704319326,119
flows,Bullish,7,0.017915464534597202,246
flows,Bullish,14,-0.009283927689713842,246
flows,Bullish,30,-0.037799741611927874,246
flows,Bearish,7,0.07244114743512403,119
flows,Bearish,14,0.056696149500806696,119
flows,Bearish,30,0.024220944389209575,119
factor_improvement,Bullish,7,0.043886748473258685,246
factor_improvement,Bullish,14,0.0478712809517814,246
factor_improvement,Bullish,30,0.025804340866145938,246
factor_improvement,Bearish,7,0.007123683207333264,119
factor_improvement,Bearish,14,-0.0030559689211694272,119
factor_improvement,Bearish,30,-0.025000985448177686,119
