model,variant,horizon,period,eligible_universe,n_rebalances,total_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,avg_turnover,total_cost,btc_total_return,excess_return,beta,alpha,information_ratio,correlation,up_capture,down_capture,drawdown_vs_btc,train_start,train_end,validation_start,validation_end,purge_days,weight_fundamentals,weight_momentum,weight_flows,weight_factor_improvement
current_no_team,always_l_s,14,fold_1,eligible_base,7,-0.29495390754340844,-0.7279256096761437,0.7050982823451825,-1.4283068710893942,-1.1922573427555414,-0.35647325526907925,-2.0420202607533025,0.5714285714285714,0.9714285714285714,0.034,0.3901996605680973,-0.6851535681115057,-0.3312503550152496,0.07073921302734665,-2.233500138909389,-0.26666252882502733,-0.7515935413698638,-0.8669595209646629,-0.27721445178238713,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,sticky_l_s,14,fold_1,eligible_base,7,-0.1905583414859947,-0.5449721012637717,0.5854899214157057,-1.0348354576412353,-0.9330924928303296,-0.27970618780703904,-1.948373418323272,0.5714285714285714,0.7142857142857142,0.024999999999999998,0.3901996605680973,-0.580758002054092,-0.3737131285821137,0.35607306008333073,-1.9694395360431975,-0.3623049177734341,-0.5955017157071347,-1.037821401007534,-0.20044738432034692,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,always_l_s,14,fold_1,eligible_sensitivity,7,-0.2642331004171624,-0.6810846624501303,0.6198215475499229,-1.4908887161659663,-1.3357562499601623,-0.30489235154254546,-2.233852895962495,0.5714285714285714,0.9714285714285714,0.034,0.3901996605680973,-0.6544327609852597,-0.43490558382861383,0.36749924317390237,-2.189879995262137,-0.39827551812890194,-0.7220076339129148,-0.9120720257707052,-0.22563354805585334,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
current_no_team,sticky_l_s,14,fold_1,eligible_sensitivity,7,-0.3007720451351973,-0.7361942590573911,0.5740474335445087,-1.979722351453392,-2.1124286016646048,-0.3208487180178494,-2.2945214293062417,0.5714285714285714,0.7428571428571429,0.025999999999999995,0.3901996605680973,-0.6909717057032946,-0.42362780184176063,0.2851982258944916,-2.456333706345664,-0.4188822640589522,-0.808295718224259,-0.8348328463932668,-0.2415899145311573,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,always_l_s,14,fold_1,eligible_base,7,-0.11160146454709408,-0.3564379863411893,0.3846934230214351,-0.9602909189046624,-1.0520327446739248,-0.18642545053692272,-1.9119599030851988,0.42857142857142855,1.5714285714285716,0.05500000000000001,0.3901996605680973,-0.5018011251151914,-0.016664281094752056,-0.31625938757286925,-2.3170684925135636,-0.024588221625765214,-0.20602544245835416,-0.06707839513073799,-0.1071666470502306,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,sticky_l_s,14,fold_1,eligible_base,7,-0.10722131372248755,-0.3445405392124893,0.3888036493613879,-0.8997509760703886,-0.9856897137142471,-0.18109160556439163,-1.9025759815795509,0.42857142857142855,1.485714285714286,0.052000000000000005,0.3901996605680973,-0.49742097429058485,-0.01813001703037122,-0.3008279616470823,-2.28361099414994,-0.026468125003664567,-0.19608706229365677,-0.06707839513073795,-0.10183280207769951,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,always_l_s,14,fold_1,eligible_sensitivity,7,-0.13636033263274405,-0.420742921794095,0.44633222967097186,-1.0142017374944818,-1.4327585759000403,-0.252172686251771,-1.6684714274488166,0.2857142857142857,1.4285714285714288,0.05,0.3901996605680973,-0.5265599932008413,0.09373005256535553,-0.6467317990306258,-2.4915987087874196,0.11919990514806605,-0.1567601180588013,0.26247932199060436,-0.1729138827650789,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
equal_family,sticky_l_s,14,fold_1,eligible_sensitivity,7,-0.13134434818602825,-0.40811314462260784,0.45552941475976755,-0.9427732988928781,-1.5483547577120715,-0.2602455759035709,-1.5681847547480556,0.2857142857142857,1.3142857142857145,0.046000000000000006,0.3901996605680973,-0.5215440087541255,0.08341226441606452,-0.6092252049193763,-2.4266908370088047,0.10393666632901254,-0.1796474721648102,0.13763655270997038,-0.18098677241687877,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
heuristic,always_l_s,14,fold_1,eligible_base,7,-0.12395429754828724,-0.389140240223662,0.502671036776235,-0.7395809228004795,-0.8075821772735314,-0.19320941409339254,-2.0140852972907495,0.5714285714285714,1.4000000000000001,0.04900000000000001,0.3901996605680973,-0.5141539581163845,-0.27952390862424575,0.2848089632798103,-1.8914381442830657,-0.31563880873648614,-0.3237863585764109,-0.4869352362318399,-0.11395061060670042,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
heuristic,sticky_l_s,14,fold_1,eligible_base,7,-0.21014169329825771,-0.5846415950512265,0.514169593021538,-1.4467641389588717,-2.4822001427914104,-0.2651075929148675,-2.20529932252438,0.5714285714285714,1.2,0.042,0.3901996605680973,-0.600341353866355,-0.32316014533031223,0.1945172383428876,-2.2290315901626117,-0.3567522350566649,-0.5813646884398095,-0.7347644315839692,-0.1858487894281754,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15,0.35000000000000003,0.6000000000000001,0.05,0.0
