family,signal,mean_ic_7d,n_ic_7d,mean_ic_14d,n_ic_14d,mean_ic_30d,n_ic_30d,mean_ic_avg,sign,selected,dedupe_reason
flows,dex_volume_growth,0.03587531163095243,357,0.016328087715219233,350,-0.024548062125360745,334,0.009916680309996406,1,True,
flows,stablecoin_supply_growth,,0,,0,,0,,1,False,
flows,oi_change,,0,,0,,0,,1,False,
fundamentals,revenue_btc_corr,0.025871875623169286,357,0.040595864538596635,350,0.0635248925833325,334,0.042903099239974374,1,True,
fundamentals,revenue_growth_2w,0.02537859464040059,357,0.05398092795903336,350,0.020177070637862577,334,0.033326248477743306,1,True,
fundamentals,mc_fees_mean_reversion,0.021439149514613464,357,0.021730436781317617,350,0.0015800322889959466,334,0.01516537947617946,1,True,
fundamentals,revenue_growth_4w,0.021549615785190965,357,0.020894871253857104,350,-0.005945406641915825,334,0.012507830889301902,1,True,
fundamentals,payback_period,0.003716745199286129,357,0.007281169198543943,350,0.011500593186632541,334,0.007412570009578094,1,True,
fundamentals,revenue,-0.0022674292569910726,357,-0.0051177365426701305,350,-0.016931537595247303,334,-0.007930656668100826,-1,True,
fundamentals,revenue_stability,-0.009540960473649237,357,-0.017775820448847623,350,-0.02028899336713522,334,-0.0157581016626442,-1,True,
fundamentals,trading_fees,-0.010608261470048709,357,-0.018721982116893656,350,-0.03732503453528428,334,-0.02190816966427005,-1,True,
fundamentals,implied_growth_rate,0.003716745199286129,357,0.007281169198543943,350,0.011500593186632541,334,0.007412570009578094,1,False,train corr >= 0.90 with payback_period
fundamentals,protocol_margin,,0,,0,,0,,1,False,
fundamentals,fdv_revenue,,0,,0,,0,,1,False,
fundamentals,dau_growth_2w,,0,,0,,0,,1,False,
fundamentals,dau_growth_4w,,0,,0,,0,,1,False,
fundamentals,growth_composite,,0,,0,,0,,1,False,
fundamentals,revenue_per_address,,0,,0,,0,,1,False,
fundamentals,buyback_vs_issuance,,0,,0,,0,,1,False,
momentum,realised_vol_rank,0.09326279785200658,357,0.1250825896178601,350,0.16686951774380937,334,0.1275774679402975,1,True,
momentum,drawdown_from_ath,0.038020193057342465,357,0.04916583662035554,350,0.07842533072231773,334,0.05473132776162327,1,True,
momentum,momentum_breadth,0.0333765531789354,357,0.03739526904833728,350,0.052857610323607744,334,0.04097811287212581,1,True,
momentum,rel_strength_vs_btc,-0.021556377591980067,357,-0.007391639370012449,350,0.024654951199286602,334,-0.001967288068472158,-1,True,
momentum,short_term_reversal,-0.003027116688922087,357,-0.00017904591418044458,350,-0.024159025291544005,334,-0.00884962648922578,-1,True,
momentum,vol_adj_momentum_3w,-0.025267450236835763,357,-0.02686533219041385,350,-0.01772003187083424,334,-0.023383128382376415,-1,True,
momentum,size_signal,-0.036109967389711894,357,-0.04353010706906139,350,-0.0408935991800195,334,-0.040139536943732124,-1,True,
