family,signal,mean_ic_7d,n_ic_7d,mean_ic_14d,n_ic_14d,mean_ic_30d,n_ic_30d,mean_ic_avg,sign,selected,dedupe_reason
flows,dex_volume_growth,0.03587531163095243,357,0.016328087715219233,350,-0.024548062125360745,334,0.009916680309996406,1,True,
flows,stablecoin_supply_growth,,0,,0,,0,,1,False,
flows,oi_change,,0,,0,,0,,1,False,
fundamentals,revenue_btc_corr,0.02573095276953111,357,0.04066878362935642,350,0.06372160687451899,334,0.0429424025985463,1,True,
fundamentals,revenue_growth_2w,0.026146101757259645,357,0.05416609595538266,350,0.018728912545095136,334,0.03318707848394563,1,True,
fundamentals,mc_fees_mean_reversion,0.021008095829859557,357,0.02216562458240772,350,0.0021002101651349347,334,0.015330767541073617,1,True,
fundamentals,revenue_growth_4w,0.02378883393595663,357,0.023967388055034802,350,-0.0060704088116295815,334,0.014268667618937962,1,True,
fundamentals,payback_period,0.0027159103664228398,357,0.006621354629830625,350,0.010471957560046308,334,0.006517471610287353,1,True,
fundamentals,revenue,-0.0029676285381308723,357,-0.0051519068211603345,350,-0.017260077059329363,334,-0.008287681569005619,-1,True,
fundamentals,revenue_stability,-0.00943018558202427,357,-0.017679396056228203,350,-0.0210744492411,334,-0.015939703092209354,-1,True,
fundamentals,trading_fees,-0.010713349282204432,357,-0.018519853542446122,350,-0.03662429950616106,334,-0.021651422160096946,-1,True,
fundamentals,implied_growth_rate,0.0027159103664228398,357,0.006621354629830625,350,0.010471957560046308,334,0.006517471610287353,1,False,train corr >= 0.90 with payback_period
fundamentals,protocol_margin,,0,,0,,0,,1,False,
fundamentals,fdv_revenue,,0,,0,,0,,1,False,
fundamentals,dau_growth_2w,,0,,0,,0,,1,False,
fundamentals,dau_growth_4w,,0,,0,,0,,1,False,
fundamentals,growth_composite,,0,,0,,0,,1,False,
fundamentals,revenue_per_address,,0,,0,,0,,1,False,
fundamentals,buyback_vs_issuance,,0,,0,,0,,1,False,
momentum,realised_vol_rank,0.09326279785200658,357,0.1250825896178601,350,0.16686951774380937,334,0.1275774679402975,1,True,
momentum,drawdown_from_ath,0.038020193057342465,357,0.04916583662035554,350,0.07842533072231773,334,0.05473132776162327,1,True,
momentum,momentum_breadth,0.0333765531789354,357,0.03739526904833728,350,0.052857610323607744,334,0.04097811287212581,1,True,
momentum,rel_strength_vs_btc,-0.021556377591980067,357,-0.007391639370012449,350,0.024654951199286602,334,-0.001967288068472158,-1,True,
momentum,short_term_reversal,-0.003027116688922087,357,-0.00017904591418044458,350,-0.024159025291544005,334,-0.00884962648922578,-1,True,
momentum,vol_adj_momentum_3w,-0.025267450236835763,357,-0.02686533219041385,350,-0.01772003187083424,334,-0.023383128382376415,-1,True,
momentum,size_signal,-0.036109967389711894,357,-0.04353010706906139,350,-0.0408935991800195,334,-0.040139536943732124,-1,True,
