model,variant,horizon,period,eligible_universe,n_rebalances,total_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,avg_turnover,total_cost,btc_total_return,excess_return,beta,alpha,information_ratio,correlation,up_capture,down_capture,drawdown_vs_btc,scheme,weight_fundamentals,weight_momentum,weight_flows,weight_factor_improvement,train_start,train_end,validation_start,validation_end,purge_days,fold_retrained_rolling_folds,fold_retrained_rolling_positive_folds,fold_retrained_rolling_avg_total_return,fold_retrained_rolling_min_total_return,fold_retrained_rolling_avg_sharpe,validation_total_return_gt_0,validation_sharpe_gt_0,fold_retrained_rolling_positive_folds_ge_3,fold_retrained_rolling_avg_return_gt_0,would_clear_strict_gate_no_leakage
baseline_learned_global,sticky_l_s,14,Validation,eligible_sensitivity,13,-0.04841847900976337,-0.09473949974603746,0.40742608376630446,-0.04266300374670458,-0.049130254446643,-0.2659672389843388,-0.3562074039939035,0.6153846153846154,0.6769230769230768,0.044000000000000004,0.1312957529760912,-0.17971423198585457,-0.645598603718396,0.0864786545809236,-0.5164517891144484,-0.42541866566956177,-0.5608569258911887,-0.9384437066242378,-0.13670223473013354,baseline_learned_global,0.55,0.45,0.0,0.0,,,,,,4,1,-0.04706049393568454,-0.13427883520679318,-0.15344316059814828,False,False,False,False,False
baseline_learned_global,sticky_l_s,14,fold_1,eligible_sensitivity,7,-0.13427883520679318,-0.41552608862580775,0.6885606458246372,-0.4180827298424106,-0.2899992920035842,-0.325147113530588,-1.2779633320863462,0.7142857142857143,0.9714285714285714,0.033999999999999996,0.3901996605680973,-0.5244784957748905,-0.05228658821795225,-0.28945993329462694,-1.7544954913925666,-0.04310259370582392,-0.47372917407394044,-1.1802743300666592,-0.24588831004389589,baseline_learned_global,0.2,0.6000000000000001,0.2,0.0,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15.0,4,1,-0.04706049393568454,-0.13427883520679318,-0.15344316059814828,False,False,False,False,False
baseline_learned_global,sticky_l_s,14,fold_2,eligible_sensitivity,7,-0.02120332154127791,-0.07671822603969425,0.424807543546944,-0.0006792493769312046,-0.00294903830330293,-0.21095714232889484,-0.36366735533460126,0.7142857142857143,1.0857142857142859,0.038,0.06568445492499086,-0.08688777646626877,-1.1207430698797949,0.22293200569669408,-0.37496489052195886,-0.9629884955177628,-0.7430794436831983,-1.1320825720095478,-0.0681315231844506,baseline_learned_global,0.25,0.6000000000000001,0.05,0.1,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15.0,4,1,-0.04706049393568454,-0.13427883520679318,-0.15344316059814828,False,False,False,False,False
baseline_learned_global,sticky_l_s,14,fold_3,eligible_sensitivity,7,0.04147595134086912,0.16341440591328693,0.31013711680450945,0.6256528313819062,1.9498081698836307,-0.15024848411433223,1.0876276514639311,0.7142857142857143,0.7714285714285715,0.027000000000000003,0.2042335030221758,-0.16275755168130668,-0.5376932450838077,0.7000587714254592,-1.2524746772193078,-0.3012293200214817,0.07017676840133619,-4.757403501617695,-0.14225991537639548,baseline_learned_global,0.35,0.6,0.04999999999999999,0.0,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15.0,4,1,-0.04706049393568454,-0.13427883520679318,-0.15344316059814828,False,False,False,False,False
baseline_learned_global,sticky_l_s,14,fold_4,eligible_sensitivity,7,-0.07423577033553619,-0.24970670144293827,0.3028169697001932,-0.8206634945551575,-3.5110871080072132,-0.06673030893096377,-3.7420282543764904,0.14285714285714285,0.7714285714285715,0.027,-0.09092618285710707,0.016690412521570885,0.06730516465570434,-0.22959168549801065,0.15837733384912692,0.05686774035082756,0.030513218575163037,0.334901045944022,0.06163598241549806,baseline_learned_global,0.2,0.6000000000000001,0.2,0.0,2024-05-01,2025-07-17,2025-08-01,2025-10-31,15.0,4,1,-0.04706049393568454,-0.13427883520679318,-0.15344316059814828,False,False,False,False,False
baseline_learned_global,sticky_l_s,14,Test,eligible_sensitivity,13,0.2219104131973415,0.49471010329508847,0.1199644400019504,3.4311631030973366,9.043210940050791,-0.026281001526328174,18.82386798689884,0.7692307692307693,0.8461538461538463,0.05500000000000001,-0.28923388204233946,0.511144295239681,-0.21284717452979576,0.38918934671899735,2.1566837763183053,-0.6305533335937294,0.027271100507569222,-0.38752927318447355,0.27384426708828247,baseline_learned_global,0.55,0.45,0.0,0.0,,,,,,4,1,-0.04706049393568454,-0.13427883520679318,-0.15344316059814828,False,False,False,False,False
equal_family,sticky_l_s,14,Validation,eligible_sensitivity,13,-0.3518576269995458,-0.5809112027678891,0.4145738278284397,-1.8515566037545592,-1.855269107305515,-0.41913652877543617,-1.3859713074045334,0.5384615384615384,1.3538461538461541,0.08800000000000002,0.1312957529760912,-0.483153379975637,-0.4151821516761022,-0.46437045623762246,-1.863639676554126,-0.26886828804831153,-1.2452989590387358,-0.1797342169431911,-0.2898715245212309,equal_family,0.25,0.25,0.25,0.25,,,,,,4,0,-0.14094009501443763,-0.2135765631932649,-1.342421483500745,False,False,False,False,False
equal_family,sticky_l_s,14,fold_1,eligible_sensitivity,7,-0.06855677062151133,-0.2324206368031162,0.3885760392866156,-0.5039200456305944,-0.7085976378388521,-0.22086905746538887,-1.0523005778640473,0.5714285714285714,1.4000000000000001,0.049,0.3901996605680973,-0.4587564311896086,-0.04886749777756378,-0.11459811719650494,-2.046794898226277,-0.07138375382555653,-0.2933458860011773,-0.6987894123094865,-0.14161025397869675,equal_family,0.25,0.25,0.25,0.25,2024-05-01,2024-10-17,2024-11-01,2025-01-31,15.0,4,0,-0.14094009501443763,-0.2135765631932649,-1.342421483500745,False,False,False,False,False
equal_family,sticky_l_s,14,fold_2,eligible_sensitivity,7,-0.16153071957361487,-0.4811656848860407,0.5569688593870267,-0.8967947967023179,-1.005625280092729,-0.30419221730274515,-1.5817817074759806,0.7142857142857143,1.4000000000000001,0.049,0.06568445492499086,-0.22721517449860573,-1.039383692257688,-0.20326830356969333,-0.9031695158981047,-0.6811648692362535,-0.9747924097106723,-0.6564766746156611,-0.1613665981583009,equal_family,0.25,0.25,0.25,0.25,2024-05-01,2025-01-17,2025-02-01,2025-04-30,15.0,4,0,-0.14094009501443763,-0.2135765631932649,-1.342421483500745,False,False,False,False,False
equal_family,sticky_l_s,14,fold_3,eligible_sensitivity,7,-0.12009632666935943,-0.3790606088762435,0.3935957738271264,-1.0191231576814224,-1.002213107002538,-0.21667395081556662,-1.7494516874291952,0.5714285714285714,1.2571428571428573,0.044000000000000004,0.2042335030221758,-0.32432982969153523,-1.2117320352226086,0.8303076976038867,-2.1102202944986175,-0.5348999645662824,-0.569606139946072,-0.8375795682491687,-0.20868538207762988,equal_family,0.25,0.25,0.25,0.25,2024-05-01,2025-04-16,2025-05-01,2025-07-31,15.0,4,0,-0.14094009501443763,-0.2135765631932649,-1.342421483500745,False,False,False,False,False
